disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Botulism	10006041	MONDO:0005498	botulism	D001906	mondo_label	1.0	confirmed	yes		3
Hyperthyroidism	10020850	MONDO:0004425	hyperthyroidism	D006980	mondo_label	1.0	confirmed			3
T2D with hyperlipidemia	10062060	MONDO:0021187	hyperlipidemia	D006949	token_subset_broader	0.75	review			3
Shiga Toxin-producing E. coli infection	10070104				UNMAPPED	0.0	unmapped			3
Prostate cancer	10060862	MONDO:0008315	prostate cancer	C537243|D011471	mondo_label	1.0	confirmed			3
Infant colic	10021746				UNMAPPED	0.0	unmapped			3
Urolithiasis	10046707	MONDO:0024647	urolithiasis	D052878	mondo_label	1.0	confirmed			3
Laryngotracheal stenosis	10023862				UNMAPPED	0.0	unmapped			3
Acute cerbral infarction	10008118				UNMAPPED	0.0	unmapped			3
Diabetic nephropathy	10061835	MONDO:0005016	diabetic kidney disease	D003928	mondo_exact_synonym	0.95	confirmed			3
Neuro-Behcet's disease	10029254	MONDO:0000001	disease	D004194	token_subset_broader	0.75	review			3
Gastrointestinal follicular lymphoma	10078972	MONDO:0018906	follicular lymphoma	D008224	token_subset_broader	0.75	review			3
Familial adenomatous polyposis	10056981	MONDO:0021055	classic familial adenomatous polyposis		mondo_exact_synonym	0.95	confirmed	yes		2
Megaesophagus	10030136	MONDO:0001656	megaesophagus		mondo_label	1.0	confirmed			2
Cardiovascular disease	10007649	MONDO:0004995	cardiovascular disorder	D002318	mondo_exact_synonym	0.95	confirmed			2
Rhinovirus infection	10061494	MONDO:1014857	equine rhinovirus infection		token_subset_narrower	0.75	review			2
Hutchinson-Gilford progeria syndrome	10036794	MONDO:0008310	Hutchinson-Gilford progeria syndrome		mondo_label	1.0	confirmed	yes		2
Cytolytic vaginosis	10067498				UNMAPPED	0.0	unmapped			2
Late-onset Sepsis	10040047				UNMAPPED	0.0	unmapped			2
Chronic granulomatous disease	10008906	MONDO:0018305	chronic granulomatous disease	D006105	mondo_label	1.0	confirmed	yes		2
Undernourishment	10061273				UNMAPPED	0.0	unmapped			2
Giardia intestinalis infection	10018262	MONDO:0001103	giardiasis	D005873	token_subset_broader	0.75	review			2
AA amyloidosis	10002022	MONDO:0019439	AA amyloidosis		mondo_label	1.0	confirmed			2
Sepsis	10040047	MONDO:0700217	neonatal sepsis		token_subset_narrower	0.75	review			2
Orofacial granulomatosis					UNMAPPED	0.0	unmapped			2
